Genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,geneID
Down-regulated,GO:0002181,cytoplasmic translation,78/2156,143/16344,4.52035300481441e-32,2.5937785541625084e-28,RPSA/RPLP2/RPS6/FMR1/RPS7/EIF2D/EIF3M/RPL36/RPS11/EIF4H/RPL10A/RPL19/RPL6/RPS3/RPL27A/RPL38/RPL7A/RPL17/RPS15/EIF5/UBA52/RPL4/RPS8/RPL15/RPS18/RPS24/RPL13/RPS5/EIF4A2/RPL34/RPL12/RPS21/RPL13A/RPL7/RPL39/RPL23/RPL26/RPL35/RPL18/RPS12/RPS17/RPL23A/RPL29/RPL35A/RPL37A/RPS3A/RPL8/RPS15A/RPS27A/RPL32/RPS10/CSDE1/RPL41/RPLP1/RPS16/RPL24/RPS13/RPL37/CPEB3/RPS14/RPS29/RPS20/RPL14/RPL10/RPL5/RPS27/RPL30/RPS9/RPS23/RPL3/RPL11/RPL21/RPLP0/RPS25/EIF4B/CNBP/RPL22/RPS28
Down-regulated,GO:0016054,organic acid catabolic process,97/2156,242/16344,7.205030087016419e-26,2.0671231319650105e-22,TYSND1/AKT2/ILVBL/ALDH8A1/SCP2/HMGCL/AFMID/MCCC2/ACAD11/ECH1/HNMT/ALDH5A1/DDAH2/MTHFS/ACAA1/PEX5/PPARA/IVD/SESN2/ARG1/HADH/QPRT/PCCA/MPST/GCSH/ECI1/SHMT2/ECI2/AIG1/PIPOX/MCEE/FAAH/PHYH/ACACB/SHMT1/ETFBKMT/HAO1/FTCD/DECR2/QDPR/HIBADH/KYNU/CYP4A11/AGXT/HSD17B10/HGD/ACADS/CYP4F11/LDHD/CYP4F3/DBT/RIDA/BCKDHB/PAH/GLUD1/AMT/THNSL2/GPT2/ABAT/HPD/ECHDC2/HYKK/CYP4F12/IRS1/PRODH2/PCK2/ABHD1/ABCB11/SARDH/SCLY/ACMSD/ADHFE1/GSTZ1/ACOX2/PCK1/ALDH1L1/PON3/IDNK/GPT/HOGA1/AMDHD1/PON1/GCDH/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/TAT/ACADSB/AKR1D1/AASS/PRODH/OAT
Down-regulated,GO:1901605,alpha-amino acid metabolic process,86/2156,201/16344,2.0495248270841735e-25,3.920057819269663e-22,GMPS/AZIN1/ILVBL/NR1H4/ALDH8A1/PARK7/HMGCL/AFMID/MCCC2/HNF4A/ALDH5A1/GLYATL1/DDAH2/PLOD2/BHMT2/MTHFS/ATF4/DHFR2/DHFR/SLC25A13/IVD/NIT2/ARG1/MPST/GCSH/SHMT2/ASL/PIPOX/SHMT1/FTCD/SLC39A8/MTHFD1/QDPR/HIBADH/KYNU/GCLC/IYD/AGXT/HSD17B10/HGD/MMUT/FPGS/PHGDH/RIDA/PAH/GLUD1/AMT/THNSL2/GPT2/HPD/HYKK/PRODH2/SARDH/SCLY/ACMSD/ADHFE1/GSTZ1/GLYAT/CTH/PCBD1/PSAT1/ASPG/BAAT/GPT/HOGA1/AMDHD1/ADI1/GCDH/BHMT/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/NAGS/TTC36/TAT/ACADSB/ASS1/AASS/PRODH/GNMT/OAT
Down-regulated,GO:0046395,carboxylic acid catabolic process,94/2156,238/16344,1.5221861458451502e-24,2.183576026214868e-21,TYSND1/AKT2/ILVBL/ALDH8A1/SCP2/HMGCL/AFMID/MCCC2/ACAD11/ECH1/HNMT/ALDH5A1/DDAH2/MTHFS/ACAA1/PEX5/PPARA/IVD/SESN2/ARG1/HADH/QPRT/PCCA/GCSH/ECI1/SHMT2/ECI2/AIG1/PIPOX/MCEE/FAAH/PHYH/ACACB/SHMT1/ETFBKMT/HAO1/FTCD/DECR2/QDPR/HIBADH/KYNU/CYP4A11/AGXT/HSD17B10/HGD/ACADS/CYP4F11/LDHD/CYP4F3/DBT/RIDA/BCKDHB/PAH/GLUD1/AMT/GPT2/ABAT/HPD/ECHDC2/HYKK/CYP4F12/IRS1/PRODH2/PCK2/ABHD1/ABCB11/SARDH/ACMSD/ADHFE1/GSTZ1/ACOX2/PCK1/ALDH1L1/PON3/IDNK/GPT/HOGA1/AMDHD1/PON1/GCDH/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/TAT/ACADSB/AKR1D1/AASS/PRODH/OAT
Down-regulated,GO:0044282,small molecule catabolic process,123/2156,372/16344,1.5010902917688506e-23,1.722651218833933e-20,TYSND1/AKT2/ILVBL/ESD/ALDH8A1/PARK7/INPP5A/LRP5/SCP2/HMGCL/AFMID/MCCC2/ACAD11/BAD/ECH1/HNMT/ALDH5A1/DDAH2/ADAL/MTHFS/ACAA1/PEX5/PPARA/IVD/SESN2/ARG1/HADH/QPRT/CDADC1/PCCA/HAGH/MPST/GCSH/GALE/ECI1/SHMT2/ECI2/CYP39A1/AIG1/PIPOX/MCEE/DPYD/FAAH/CYP27A1/PHYH/ACACB/SHMT1/ETFBKMT/DERA/HAO1/FTCD/DECR2/QDPR/HIBADH/KYNU/CYP4A11/AGXT/HSD17B10/HGD/ACADS/CYP4F11/LDHD/CYP4F3/DBT/RIDA/BCKDHB/PAH/GLUD1/UPB1/AMT/THNSL2/GPT2/ABAT/HPD/ECHDC2/CDA/HYKK/ALDH2/CYP4F12/IRS1/PRODH2/PCK2/ABHD1/ABCB11/SARDH/SCLY/PNP/ACMSD/ADHFE1/GSTZ1/GLYCTK/ACOX2/PCK1/ALDH1L1/ADH4/PON3/IDNK/GPT/SULT1A2/HOGA1/AMDHD1/SULT1A1/PON1/GCDH/MAT1A/GLS2/SORD/HAAO/GCAT/ALDH6A1/CYP3A4/SDS/ASPA/AADAT/TAT/ACADSB/GALK1/AKR1D1/SULT1E1/AASS/PRODH/CYP1A1/OAT
Down-regulated,GO:0006520,cellular amino acid metabolic process,99/2156,282/16344,2.6651478027362305e-21,2.5487696820167483e-18,IARS2/KARS1/GMPS/AZIN1/ILVBL/NR1H4/ALDH8A1/PARK7/HMGCL/AFMID/MCCC2/TARS2/DIO1/HNF4A/HNMT/ALDH5A1/GLYATL1/DDAH2/TARS3/PLOD2/BHMT2/MTHFS/ATF4/DHFR2/DHFR/SLC25A13/IVD/NIT2/ARG1/MPST/GCSH/SHMT2/ASL/PIPOX/DPYD/SHMT1/FTCD/SLC39A8/MTHFD1/SLC16A2/QDPR/DDC/HIBADH/KYNU/GCLC/IYD/AGXT/HSD17B10/HGD/MMUT/FPGS/PHGDH/DBT/RIDA/BCKDHB/PAH/GLUD1/UPB1/AMT/THNSL2/GPT2/ABAT/HPD/HYKK/PRODH2/SARDH/SCLY/ACMSD/ADHFE1/GSTZ1/GLYAT/CTH/PCBD1/PSAT1/ASPG/BAAT/GPT/HOGA1/AMDHD1/ADI1/GCDH/BHMT/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/NAGS/TTC36/TAT/ACADSB/ASS1/AASS/PRODH/GNMT/OAT
Down-regulated,GO:0009063,cellular amino acid catabolic process,51/2156,112/16344,5.245704068196845e-17,3.84597600057879e-14,ALDH8A1/HMGCL/AFMID/MCCC2/HNMT/ALDH5A1/DDAH2/IVD/ARG1/GCSH/SHMT2/PIPOX/SHMT1/FTCD/QDPR/HIBADH/KYNU/AGXT/HSD17B10/HGD/DBT/RIDA/BCKDHB/PAH/GLUD1/AMT/GPT2/ABAT/HPD/HYKK/PRODH2/SARDH/ACMSD/ADHFE1/GSTZ1/GPT/HOGA1/AMDHD1/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/TAT/ACADSB/AASS/PRODH/OAT
Down-regulated,GO:1901606,alpha-amino acid catabolic process,46/2156,94/16344,5.362113629248923e-17,3.84597600057879e-14,ALDH8A1/HMGCL/AFMID/MCCC2/DDAH2/IVD/ARG1/GCSH/SHMT2/PIPOX/SHMT1/QDPR/HIBADH/KYNU/AGXT/HSD17B10/HGD/RIDA/PAH/GLUD1/AMT/THNSL2/GPT2/HPD/HYKK/PRODH2/SARDH/SCLY/ACMSD/ADHFE1/GSTZ1/GPT/HOGA1/MAT1A/GLS2/HAAO/GCAT/ALDH6A1/SDS/ASPA/AADAT/TAT/ACADSB/AASS/PRODH/OAT
Down-regulated,GO:0006091,generation of precursor metabolites and energy,128/2156,476/16344,4.971753688403473e-16,3.1697691848954586e-13,PANK2/CHCHD2/UQCRC1/PRKAA1/ATP5PO/NDUFV2/COX8A/OXA1L/AKT2/STOML2/PTGES3/ATP5MG/NDUFA1/ATP5F1E/SDHA/TRAP1/COX6A1/ATP5PD/NDUFA12/AKR7A2/ZBTB20/NDUFB5/THTPA/CYC1/NDUFB6/PARK7/DHRS3/ND4/IMMP2L/NDUFA13/STK40/ATP5F1D/HMGCL/PPP1CC/NDUFA6/UQCRB/ATP5PF/FLCN/SORBS1/NDUFA5/NDUFS3/NDUFS4/MAOB/COX7C/COX7A2L/SDHD/NDUFB4/INSR/CYB5A/NDUFB1/NDUFA2/MTFR1/BLOC1S1/PPARA/UQCR11/NUPR1/ATP5ME/SLC25A13/NDUFC2/SURF1/IDH1/COX2/OPN3/COX17/FH/AGL/MRPS36/NDUFB10/ATP5IF1/CHCHD10/NDUFB8/ETFRF1/GYS2/SIRT3/ND4L/SHMT2/NDUFB7/MTFR1L/COX5B/CYTB/ETFBKMT/DERA/BNIP3/SRD5A1/NDUFB9/QDPR/KHK/NOP53/ATP6/PPARGC1A/NCOR1/GCGR/ND3/MLXIPL/PHKG2/ENPP1/PHGDH/PDIA5/PFKFB1/DHTKD1/PER2/DMGDH/CEBPA/AKR1C4/HMGCS2/PGM1/CAT/ALDOB/ALDH2/IRS1/COQ10A/CBFA2T3/G6PC1/ALDH1L1/SLC27A5/ADH4/ADH6/ADH1C/PPP1R3C/ADH1B/HAAO/COX6A2/GALK1/PPP1R3G/CYP1A2/PPP1R1A/GNMT/PGAM2
Down-regulated,GO:0015980,energy derivation by oxidation of organic compounds,90/2156,305/16344,3.7167169195184824e-14,2.132652168419705e-11,PANK2/CHCHD2/UQCRC1/ATP5PO/NDUFV2/OXA1L/AKT2/STOML2/PTGES3/ATP5MG/NDUFA1/ATP5F1E/SDHA/TRAP1/COX6A1/ATP5PD/NDUFA12/NDUFB5/CYC1/NDUFB6/PARK7/ND4/IMMP2L/STK40/ATP5F1D/PPP1CC/NDUFA6/UQCRB/ATP5PF/FLCN/SORBS1/NDUFA5/NDUFS3/NDUFS4/COX7C/COX7A2L/SDHD/NDUFB4/INSR/NDUFB1/NDUFA2/MTFR1/BLOC1S1/NUPR1/ATP5ME/SLC25A13/NDUFC2/SURF1/IDH1/COX2/OPN3/FH/AGL/MRPS36/NDUFB10/CHCHD10/NDUFB8/ETFRF1/GYS2/SIRT3/ND4L/SHMT2/NDUFB7/MTFR1L/COX5B/CYTB/BNIP3/NDUFB9/KHK/NOP53/ATP6/PPARGC1A/GCGR/ND3/MLXIPL/PHKG2/ENPP1/DHTKD1/PER2/CAT/IRS1/COQ10A/CBFA2T3/G6PC1/PPP1R3C/COX6A2/PPP1R3G/CYP1A2/PPP1R1A/GNMT
