Genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,geneID
Down-regulated,GO:0046395,carboxylic acid catabolic process,91/1538,238/16344,1.265723231473653e-33,6.920974629697934e-30,AASDHPPT/HMGCL/AKR1A1/AKT2/ECHS1/DDAH2/AFMID/CARNMT1/SLC25A17/MCCC2/AMACR/CRAT/ECH1/PEX5/AIG1/KYNU/SESN2/EHHADH/IVD/SHMT2/ACADM/MCEE/XYLB/NUDT19/ECI2/ALDH8A1/ABAT/DECR2/ACAD11/HPD/ECI1/ALDH5A1/ACADL/LDHD/HADH/GCSH/DAO/QPRT/PHYH/ARG1/ACAA2/PAH/PRODH2/IRS1/ACAT2/ACAT1/SCP2/PIPOX/ACAA1/HIBADH/HAO1/CYP4F3/ACACB/CYP4F11/HSD17B10/AMT/SHMT1/BCKDHB/DBT/MTHFS/SARDH/QDPR/IDNK/GLUD1/ACOX2/RIDA/PON1/ETFBKMT/GCDH/PCK2/GSTZ1/ACADS/ASPA/ECHDC2/GCAT/ALDH6A1/HAAO/GLS2/ACADSB/MAT1A/ABHD1/HOGA1/ALDH1L1/AASS/GPT/AADAT/IDO2/PRODH/AKR1D1/OAT/CYP26A1
Down-regulated,GO:0016054,organic acid catabolic process,91/1538,242/16344,5.8471027943166954e-33,1.4846713792744095e-29,AASDHPPT/HMGCL/AKR1A1/AKT2/ECHS1/DDAH2/AFMID/CARNMT1/SLC25A17/MCCC2/AMACR/CRAT/ECH1/PEX5/AIG1/KYNU/SESN2/EHHADH/IVD/SHMT2/ACADM/MCEE/XYLB/NUDT19/ECI2/ALDH8A1/ABAT/DECR2/ACAD11/HPD/ECI1/ALDH5A1/ACADL/LDHD/HADH/GCSH/DAO/QPRT/PHYH/ARG1/ACAA2/PAH/PRODH2/IRS1/ACAT2/ACAT1/SCP2/PIPOX/ACAA1/HIBADH/HAO1/CYP4F3/ACACB/CYP4F11/HSD17B10/AMT/SHMT1/BCKDHB/DBT/MTHFS/SARDH/QDPR/IDNK/GLUD1/ACOX2/RIDA/PON1/ETFBKMT/GCDH/PCK2/GSTZ1/ACADS/ASPA/ECHDC2/GCAT/ALDH6A1/HAAO/GLS2/ACADSB/MAT1A/ABHD1/HOGA1/ALDH1L1/AASS/GPT/AADAT/IDO2/PRODH/AKR1D1/OAT/CYP26A1
Down-regulated,GO:0044282,small molecule catabolic process,116/1538,372/16344,8.145600105748405e-33,1.4846713792744095e-29,AASDHPPT/RBKS/HMGCL/AKR1A1/AKT2/ESD/ECHS1/ADH5/DDAH2/AFMID/CARNMT1/SLC25A17/MCCC2/AMACR/CRAT/ECH1/PEX5/AIG1/KYNU/DERA/CYP27A1/SESN2/EHHADH/IVD/SHMT2/ACADM/HAGH/MCEE/GALE/XYLB/NUDT19/CDADC1/ECI2/ALDH8A1/ABAT/DECR2/DPYD/ACAD11/HPD/ECI1/ALDH5A1/ACADL/LDHD/HADH/GCSH/DAO/QPRT/PHYH/ARG1/ACAA2/PAH/CDA/PRODH2/UPB1/IRS1/ACAT2/ACAT1/SCP2/PIPOX/ACAA1/SULT1A1/HIBADH/ADAL/HAO1/CYP4F3/ACACB/CYP4F11/GLYCTK/HSD17B10/AMT/SHMT1/HSD17B6/BCKDHB/DBT/MTHFS/SARDH/QDPR/IDNK/ALDH2/GLUD1/ACOX2/RIDA/PNP/PON1/ETFBKMT/GCDH/PCK2/GSTZ1/ACADS/ASPA/ECHDC2/GCAT/ALDH6A1/HAAO/GLS2/SULT1A2/CYP3A4/ACADSB/MAT1A/ABHD1/HOGA1/ALDH1L1/SORD/AASS/GPT/ADH4/AADAT/GALK1/SULT1A4/IDO2/SULT1E1/PRODH/GCK/AKR1D1/OAT/CYP26A1
Down-regulated,GO:1901605,alpha-amino acid metabolic process,70/1538,201/16344,2.5377172390700236e-23,3.4690594658087226e-20,AASDHPPT/AZIN1/HMGCL/DDAH2/AFMID/MCCC2/KYNU/IVD/SHMT2/BHMT2/SERINC5/DHFR2/DHFR/ALDH8A1/SLC25A13/HPD/AGMAT/ALDH5A1/CTPS1/GCSH/DAO/ARG1/PAH/GLYATL1/PRODH2/ACAT1/MTHFD1/PIPOX/HIBADH/PHGDH/MMUT/FPGS/IYD/GCLC/NIT2/HSD17B10/AMT/SHMT1/BAAT/PCBD1/MTHFS/SARDH/QDPR/GLUD1/RIDA/GCDH/GLYAT/GSTZ1/ASPA/ADI1/ASS1/GCAT/ALDH6A1/PSAT1/TTC36/HAAO/GLS2/ACADSB/MAT1A/NAGS/HOGA1/AASS/BHMT/GPT/ASPG/AADAT/IDO2/PRODH/GNMT/OAT
Down-regulated,GO:0006520,cellular amino acid metabolic process,81/1538,282/16344,1.124583677320135e-20,1.2298447095172995e-17,AASDHPPT/IARS2/AZIN1/HMGCL/ECHS1/DDAH2/AFMID/CARNMT1/MCCC2/KYNU/ACY1/IVD/SHMT2/BHMT2/SERINC5/DHFR2/DHFR/ALDH8A1/ABAT/SLC25A13/DPYD/HPD/AGMAT/ALDH5A1/SLC16A2/CTPS1/GCSH/DAO/ARG1/PAH/GLYATL1/PRODH2/UPB1/ACAT1/MTHFD1/PIPOX/HIBADH/PHGDH/MMUT/FPGS/IYD/GCLC/NIT2/HSD17B10/AMT/SHMT1/BAAT/PCBD1/BCKDHB/DBT/DDC/MTHFS/SARDH/QDPR/GLUD1/RIDA/GCDH/GLYAT/GSTZ1/ASPA/ADI1/ASS1/GCAT/ALDH6A1/PSAT1/TTC36/HAAO/GLS2/ACADSB/MAT1A/NAGS/HOGA1/AASS/BHMT/GPT/ASPG/AADAT/IDO2/PRODH/GNMT/OAT
Down-regulated,GO:0008202,steroid metabolic process,83/1538,304/16344,1.259596606576658e-19,1.147912374126861e-16,STAT5B/FDX1/HINT2/OSBPL9/AMACR/PMVK/FGFR4/GC/CYP27A1/PROX1/ERG28/LGMN/RXRA/UGT2B15/UGT2B4/NPC1L1/ACADL/CES1/HSD11B1/BMP6/ACAA2/SIRT1/EPHX2/HSD17B8/ACAT1/CYP2C9/SCP2/AKR1C1/ACAA1/SULT1A1/SC5D/HMGCS2/NR0B2/NR5A2/CYP51A1/CEBPA/SOD1/HSD17B10/BAAT/EBP/HSD17B6/CYP4V2/ARMC5/RORC/FAXDC2/NR1I2/FDPS/SREBF1/UGT2B7/ESR1/ABCG1/PON1/SLC27A5/UGT1A4/TM7SF2/AKR1C4/TSKU/DHRS4/SEC14L2/EBPL/LIPC/LSS/SULT1A2/CAT/CYP3A4/OSBPL6/LCAT/CETP/CYP2E1/SRD5A2/SULT1A4/DGAT2/SULT1E1/SOAT2/AKR1D1/CACNA1H/CYP26A1/UGT2A1/HSD17B14/CYP2C19/UGT2B17/DHRS2/NR5A1
Down-regulated,GO:0009063,cellular amino acid catabolic process,45/1538,112/16344,3.0136372123758925e-18,2.35408118246734e-15,HMGCL/ECHS1/DDAH2/AFMID/CARNMT1/MCCC2/KYNU/IVD/SHMT2/ALDH8A1/ABAT/HPD/ALDH5A1/GCSH/DAO/ARG1/PAH/PRODH2/ACAT1/PIPOX/HIBADH/HSD17B10/AMT/SHMT1/BCKDHB/DBT/SARDH/QDPR/GLUD1/RIDA/GSTZ1/ASPA/GCAT/ALDH6A1/HAAO/GLS2/ACADSB/MAT1A/HOGA1/AASS/GPT/AADAT/IDO2/PRODH/OAT
Down-regulated,GO:0072329,monocarboxylic acid catabolic process,46/1538,124/16344,5.248755203289582e-17,3.5875241814484293e-14,AKR1A1/AKT2/ECHS1/SLC25A17/AMACR/CRAT/ECH1/PEX5/AIG1/SESN2/EHHADH/IVD/ACADM/MCEE/XYLB/NUDT19/ECI2/DECR2/ACAD11/ECI1/ACADL/LDHD/HADH/PHYH/ACAA2/IRS1/ACAT2/ACAT1/SCP2/ACAA1/HAO1/CYP4F3/ACACB/CYP4F11/HSD17B10/IDNK/ACOX2/ETFBKMT/GCDH/PCK2/ACADS/ECHDC2/ABHD1/HOGA1/AKR1D1/CYP26A1
Down-regulated,GO:1901606,alpha-amino acid catabolic process,39/1538,94/16344,1.443530016630813e-16,8.770246812152539e-14,HMGCL/DDAH2/AFMID/MCCC2/KYNU/IVD/SHMT2/ALDH8A1/HPD/GCSH/DAO/ARG1/PAH/PRODH2/ACAT1/PIPOX/HIBADH/HSD17B10/AMT/SHMT1/SARDH/QDPR/GLUD1/RIDA/GSTZ1/ASPA/GCAT/ALDH6A1/HAAO/GLS2/ACADSB/MAT1A/HOGA1/AASS/GPT/AADAT/IDO2/PRODH/OAT
Down-regulated,GO:0006066,alcohol metabolic process,83/1538,344/16344,4.1300345477387936e-16,2.258302890703572e-13,AKR1A1/DHRS3/PPIP5K2/FDX1/AKR7A2/ADH5/GDE1/PLPP3/PMVK/CYP27A1/ALDH3A2/RXRA/RBP4/PECR/CBR4/DHFR/PTH1R/SPTLC3/GCH1/NPC1L1/ADH1C/ACADL/CES1/BMP6/ACAA2/EPHX2/IDH1/CYP2C9/AKR1C1/SULT1A1/SC5D/HAO1/HMGCS2/NR0B2/ACSS2/CYP51A1/GPD1/CEBPA/ADH1A/SOD1/EBP/CYP2C18/PCBD1/DGAT1/FDPS/SREBF1/QDPR/ALDH2/ABCG1/PON1/MOGAT2/PCK2/UGT1A4/TM7SF2/FGF2/AKR1C4/TSKU/DHRS4/LRAT/SEC14L2/LIPC/LSS/SULT1A2/CAT/CYP3A4/TTR/ADH6/NAAA/SORD/GPER1/ADH1B/MOGAT1/LCAT/ADH4/GALK1/CETP/SULT1A4/DGAT2/SULT1E1/SLC34A1/SOAT2/AKR1D1/CACNA1H
